Season,Week,Window,Away,Home,PctMarkets,Viewers
2023,12,Special,MIA,NYJ,100,9.61
2023,11,MNF,PHI,KC,100,28.96
2023,11,Late,NYJ,BUF,82,20.99
2023,11,SNF,MIN,DEN,100,18.45
2023,11,Single,DAL,CAR,35,18.05
2023,11,TNF,CIN,BAL,100,12.92
2023,11,Early,PIT,CLE,61,12.75
2023,10,Late,NYG,DAL,90,21.73
2023,10,MNF,DEN,BUF,100,17.68
2023,10,Single,GB,PIT,42,16.27
2023,10,SNF,NYJ,LV,100,15.64
2023,10,Early,SF,JAX,65,12.52
2023,10,TNF,CAR,CHI,100,9.56
2023,10,Germany,IND,NE,100,4.59
2023,9,Late,DAL,PHI,91,27.14
2023,9,SNF,BUF,CIN,100,18.36
2023,9,Single,SEA,BAL,50,14.54
2023,9,MNF,LAC,NYJ,100,14.5
2023,9,TNF,TEN,PIT,100,11.52
2023,9,Early,LAR,GB,49,11.46
2023,9,Germany,MIA,KC,100,9.18
2023,8,Late,CIN,SF,72,26.06
2023,8,Single,LAR,DAL,42,19.98
2023,8,SNF,CHI,LAC,100,15.72
2023,8,MNF,LV,DET,100,15.21
2023,8,Early,JAX,PIT,69,13.47
2023,8,TNF,TB,BUF,100,11.22
2023,7,Late,LAC,KC,88,24.38
2023,7,SNF,MIA,PHI,100,20.61
2023,7,MNF,SF,MIN,100,18.62
2023,7,Early,BUF,NE,50,15.69
2023,7,Single,DET,BAL,35,14.53
2023,7,TNF,JAX,NO,100,9.79
2023,6,Late,PHI,NYJ,63,26.09
2023,6,MNF,DAL,LAC,100,19.64
2023,6,SNF,NYG,BUF,100,16.71
2023,6,Early,SF,CLE,67,13.86
2023,6,TNF,DEN,KC,100,13.83
2023,6,Single,SEA,CIN,50,13.31
2023,6,London,BAL,TEN,100,4.29
2023,5,SNF,DAL,SF,100,24.29
2023,5,Late,KC,MIN,88,23.13
2023,5,MNF,GB,LV,100,17.38
2023,5,Single,PHI,LAR,32,16.81
2023,5,Early,BAL,PIT,72,12.63
2023,5,TNF,CHI,WSH,100,11.72
2023,5,London,JAX,BUF,100,5.13
2023,4,SNF,KC,NYJ,100,24.83
2023,4,Late,NE,DAL,83,23.37
2023,4,Single,MIA,BUF,50,16.86
2023,4,MNF,SEA,NYG,100,16.59
2023,4,TNF,DET,GB,100,13.48
2023,4,Early,WSH,PHI,38,13.21
2023,3,Late,CHI,KC,67,24.32
2023,3,SNF,PIT,LV,100,19.21
2023,3,Single,NE,NYJ,34,17.52
2023,3,TNF,NYG,SF,100,13.92
2023,3,MNF,PHI,TB,100,13.72
2023,3,Early,GB,NO,74,12.21
2023,3,MNF,LAR,CIN,100,8.99
2023,2,Late,NYJ,DAL,90,25.78
2023,2,SNF,MIA,NE,100,17.86
2023,2,Early,KC,JAX,52,16.51
2023,2,MNF,CLE,PIT,100,15.43
2023,2,TNF,MIN,PHI,100,15.05
2023,2,MNF,NO,CAR,100,6.95
2023,1,Kickoff,DET,KC,100,24.75
2023,1,MNF,BUF,NYJ,100,22.67
